PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Surname,Maiden Name,First Surname,Second Surname,Group
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,S,Braund,,Braund,,205
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,Cumings,Thayer,Cumings,,7
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,Heikkinen,,Heikkinen,,437
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,Futrelle,Peel,Futrelle,,83
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S,Allen,,Allen,,438
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,Moran,,Moran,,40
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,McCarthy,,McCarthy,,124
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,Palsson,,Palsson,,70
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,Johnson,Berg,Johnson,,15
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,Nasser,Achem,Nasser,,133
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,Sandstrom,,Sandstrom,,69
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,Bonnell,,Bonnell,,28
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,Saundercock,,Saundercock,,439
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,Andersson,,Andersson,,3
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,Vestrom,,Vestrom,,440
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,Hewlett,Kingcome,Hewlett,,134
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,Rice,,Rice,,192
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,Williams,,Williams,,325
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,Vander Planke,Vandemoortele,Vander Planke,,65
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,Masselmani,,Masselmani,,441
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,Fynney,,Fynney,,164
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,Beesley,,Beesley,,326
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,McGowan,,McGowan,,206
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,Sloper,,Sloper,,238
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,Palsson,,Palsson,,70
